Comment,Designator,Footprint,LCSC,LCSC Package
10n0,"C14,C24,C41",Capacitor_SMD:C_0805_2012Metric,C1710,0805
10u0/75V,"C16,C36,C37,C38,C39,C43,C44,C51,C52,C53",Capacitor_SMD:C_1210_3225Metric,,
100n,"C1,C2,C5,C17,C18,C19,C20,C21,C25,C27,C30,C31,C32,C33,C45,C46,C48",Capacitor_SMD:C_0805_2012Metric,C49678,0805
1n00,"C23,C35,C40,C47",Capacitor_SMD:C_0805_2012Metric,C46653,0805
22u0/25V,"C26,C28,C34,C50",Capacitor_SMD:C_0805_2012Metric,C45783,0805
15p0,"C3,C4",Capacitor_SMD:C_0805_2012Metric,C1794,0805
10u0/25V,"C6,C7,C8,C9,C10,C11,C12,C13,C15,C22,C29,C42,C49",Capacitor_SMD:C_0805_2012Metric,C15850,0805
330u,"C54,C56",Capacitor_SMD:CP_Elec_16x17.5,,
BLUE,D1,LED_SMD:LED_0805_2012Metric,C2293,LED_0805
RED,"D2,D11",LED_SMD:LED_0805_2012Metric,C2296,LED_0805
GREEN,D3,LED_SMD:LED_0805_2012Metric,C2297,LED_0805
SS210,"D4,D8",Diode_SMD:D_SMA,C14996,"SMA,DO-214AC"
B5819W,"D5,D6,D7",Diode_SMD:D_SOD-123,C8598,SOD-123
330u,L1,Inductor_SMD:L_12x12mm_H4.5mm,C169381,SMD-12.5x12.5x8
4u70,L2,Inductor_SMD:L_Wuerth_WE-PD2-Typ-L,C408410,SMD-5.2x5.4x2.8
"TPH2R608NH,L1Q","Q1,Q2,Q3,Q4,Q5,Q6",gesc:TRANS_TPHR8504PL-3PIN,C146377,SOP-8_EP_5.0x5.0x1.27P
221r,"R10,R11",Resistor_SMD:R_0805_2012Metric,,
220k,R12,Resistor_SMD:R_0805_2012Metric,,
100k,R15,Resistor_SMD:R_0805_2012Metric,,
10r0,"R2,R3,R5,R25,R26,R28,R42",Resistor_SMD:R_0805_2012Metric,,
56k0,"R13,R17,R19,R21",Resistor_SMD:R_0805_2012Metric,,
0r001,"R31,R45,R46",Resistor_SMD:R_2512_6332Metric,,
7k50,R35,Resistor_SMD:R_0805_2012Metric,,
0r00,"R1,R37",Resistor_SMD:R_0805_2012Metric,,
4r75,"R24,R38,R39",Resistor_SMD:R_0805_2012Metric,,
10r,"R32,R43",Resistor_SMD:R_0805_2012Metric,,
34k0,R44,Resistor_SMD:R_0805_2012Metric,,
2k70,"R4,R6,R7,R14,R18,R20,R22,R23",Resistor_SMD:R_0805_2012Metric,,
11k0,"R8,R16,R27,R34,R36,R40,R41",Resistor_SMD:R_0805_2012Metric,,
1k00,"R9,R29,R30,R33",Resistor_SMD:R_0805_2012Metric,,
STM32F405RGTx,U1,Package_QFP:LQFP-64_10x10mm_P0.5mm,C15742,LQFP-64_10.0x10.0x0.5P
LM5008MM,U10,Package_SO:MSOP-8_3x3mm_P0.65mm, C9424,VSSOP-8_3.0x3.0x0.65P
SN74LVC1G66DBVR,"U2,U7,U8,U9,U11,U13",gesc:M74VHC1GT66DTT1G,C133643,SOT-23-5
AQY282S,U14,Package_SO:SO-4_4.4x4.3mm_P2.54mm,C250827,SOP-4_4.3X4.4X2.54P
EYSGJNZWY,U16,gesc:BLE_EYSGJNZWY,,
LMR12010YMKE_NOPB,U17,gesc:SOT95P280X110-6N, C57930,SOT-23-6L
LM5107,"U3,U12,U15",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C132096,SOIC-8_3.9x4.9x1.27P
INA240A1,"U4,U5,U6",gesc:INA240A1QPWRQ1,C93965,TSSOP-8_3.0x4.4x0.65P
X50328MSB2GI,Y1,Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm,C115962,SMD-5032_2P
